time,value
2022-08-04 00:00:00,0.0
2022-08-04 00:10:00,0.0
2022-08-04 00:20:00,0.0
2022-08-04 00:30:00,0.0
2022-08-04 00:40:00,0.0
2022-08-04 00:50:00,10.0
2022-08-04 01:00:00,33.0
2022-08-04 01:09:00,50.0
2022-08-04 01:19:00,51.0
2022-08-04 01:30:00,0.0
2022-08-04 01:40:00,0.0
2022-08-04 01:50:00,6.0
2022-08-04 02:00:00,10.0
2022-08-04 02:09:00,20.0
2022-08-04 02:20:00,0.0
2022-08-04 02:30:00,0.0
2022-08-04 02:40:00,0.0
2022-08-04 02:50:00,0.0
2022-08-04 03:00:00,5.0
2022-08-04 03:09:00,52.0
2022-08-04 03:19:00,54.0
2022-08-04 03:30:00,65.0
2022-08-04 03:39:00,19.0
2022-08-04 03:50:00,3.0
2022-08-04 04:00:00,2.0
2022-08-04 04:09:00,7.0
2022-08-04 04:20:00,43.0
2022-08-04 04:30:00,0.0
2022-08-04 04:40:00,0.0
2022-08-04 04:50:00,0.0
2022-08-04 05:00:00,0.0
2022-08-04 05:09:00,7.0
2022-08-04 05:19:00,0.0
2022-08-04 05:30:00,4.0
2022-08-04 05:40:00,62.0
2022-08-04 05:50:00,145.0
2022-08-04 06:00:00,160.0
2022-08-04 06:10:00,206.0
2022-08-04 06:20:00,189.0
2022-08-04 06:30:00,132.0
2022-08-04 06:40:00,119.0
2022-08-04 06:50:00,36.0
2022-08-04 07:00:00,0.0
2022-08-04 07:09:00,0.0
2022-08-04 07:20:00,20.0
2022-08-04 07:30:00,0.0
2022-08-04 07:40:00,0.0
2022-08-04 07:50:00,0.0
2022-08-04 08:00:00,0.0
2022-08-04 08:10:00,0.0
2022-08-04 08:20:00,0.0
2022-08-04 08:30:00,0.0
2022-08-04 08:40:00,0.0
2022-08-04 08:50:00,0.0
2022-08-04 09:00:00,0.0
2022-08-04 09:09:00,0.0
2022-08-04 09:19:00,0.0
2022-08-04 09:29:00,0.0
2022-08-04 09:40:00,0.0
2022-08-04 09:50:00,0.0
2022-08-04 10:00:00,0.0
2022-08-04 10:09:00,0.0
2022-08-04 10:19:00,0.0
2022-08-04 10:30:00,0.0
2022-08-04 10:40:00,0.0
2022-08-04 10:50:00,0.0
2022-08-04 11:00:00,5.0
2022-08-04 11:10:00,0.0
2022-08-04 11:20:00,0.0
2022-08-04 11:30:00,0.0
2022-08-04 11:40:00,0.0
2022-08-04 11:50:00,0.0
2022-08-04 12:00:00,0.0
2022-08-04 12:10:00,0.0
2022-08-04 12:20:00,0.0
2022-08-04 12:30:00,0.0
2022-08-04 12:40:00,0.0
2022-08-04 12:50:00,0.0
2022-08-04 13:00:00,0.0
2022-08-04 13:09:00,0.0
2022-08-04 13:19:00,0.0
2022-08-04 13:30:00,0.0
2022-08-04 13:40:00,0.0
2022-08-04 13:50:00,0.0
2022-08-04 14:00:00,0.0
2022-08-04 14:09:00,0.0
2022-08-04 14:19:00,0.0
2022-08-04 14:29:00,0.0
2022-08-04 14:39:00,26.0
2022-08-04 14:50:00,52.0
2022-08-04 15:00:00,40.0
2022-08-04 15:10:00,0.0
2022-08-04 15:20:00,0.0
2022-08-04 15:30:00,0.0
2022-08-04 15:40:00,0.0
2022-08-04 15:49:00,0.0
2022-08-04 16:00:00,0.0
2022-08-04 16:09:00,0.0
2022-08-04 16:20:00,0.0
2022-08-04 16:30:00,0.0
2022-08-04 16:40:00,0.0
2022-08-04 16:50:00,0.0
2022-08-04 17:00:00,0.0
2022-08-04 17:10:00,0.0
2022-08-04 17:20:00,0.0
2022-08-04 17:30:00,0.0
2022-08-04 17:40:00,0.0
2022-08-04 17:50:00,0.0
2022-08-04 18:00:00,0.0
2022-08-04 18:09:00,0.0
2022-08-04 18:20:00,0.0
2022-08-04 18:30:00,0.0
2022-08-04 18:40:00,0.0
2022-08-04 18:50:00,0.0
2022-08-04 19:00:00,8.0
2022-08-04 19:10:00,2.0
2022-08-04 19:20:00,5.0
2022-08-04 19:30:00,20.0
2022-08-04 19:40:00,29.0
2022-08-04 19:50:00,29.0
2022-08-04 20:00:00,14.0
2022-08-04 20:09:00,29.0
2022-08-04 20:20:00,7.0
2022-08-04 20:30:00,20.0
2022-08-04 20:40:00,44.0
2022-08-04 20:50:00,73.0
2022-08-04 21:00:00,52.0
2022-08-04 21:10:00,12.0
2022-08-04 21:20:00,0.0
2022-08-04 21:30:00,15.0
2022-08-04 21:40:00,52.0
2022-08-04 21:50:00,56.0
2022-08-04 22:00:00,3.0
2022-08-04 22:10:00,0.0
2022-08-04 22:20:00,10.0
2022-08-04 22:30:00,56.0
2022-08-04 22:40:00,78.0
2022-08-04 22:50:00,86.0
2022-08-04 23:00:00,88.0
2022-08-04 23:09:00,63.0
2022-08-04 23:19:00,57.0
2022-08-04 23:30:00,50.0
2022-08-04 23:40:00,76.0
2022-08-04 23:50:00,46.0
2022-08-05 00:00:00,37.0
2022-08-05 00:09:00,27.0
2022-08-05 00:19:00,27.0
2022-08-05 00:30:00,28.0
2022-08-05 00:40:00,38.0
2022-08-05 00:50:00,68.0
2022-08-05 01:00:00,21.0
2022-08-05 01:10:00,37.0
2022-08-05 01:20:00,54.0
2022-08-05 01:30:00,83.0
2022-08-05 01:40:00,129.0
2022-08-05 01:50:00,94.0
2022-08-05 02:00:00,89.0
2022-08-05 02:09:00,118.0
2022-08-05 02:19:00,70.0
2022-08-05 02:29:00,72.0
2022-08-05 02:39:00,61.0
2022-08-05 02:50:00,62.0
2022-08-05 03:00:00,50.0
2022-08-05 03:10:00,74.0
2022-08-05 03:20:00,88.0
2022-08-05 03:30:00,60.0
2022-08-05 03:40:00,24.0
2022-08-05 03:50:00,0.0
2022-08-05 04:00:00,9.0
2022-08-05 04:09:00,17.0
2022-08-05 04:19:00,5.0
2022-08-05 04:30:00,9.0
2022-08-05 04:40:00,11.0
2022-08-05 04:50:00,18.0
2022-08-05 05:00:00,29.0
2022-08-05 05:10:00,0.0
2022-08-05 05:20:00,14.0
2022-08-05 05:30:00,63.0
2022-08-05 05:40:00,0.0
2022-08-05 05:50:00,0.0
2022-08-05 06:00:00,0.0
2022-08-05 06:10:00,0.0
2022-08-05 06:20:00,0.0
2022-08-05 06:30:00,51.0
2022-08-05 06:40:00,5.0
2022-08-05 06:50:00,0.0
2022-08-05 07:00:00,0.0
2022-08-05 07:10:00,0.0
2022-08-05 07:20:00,0.0
2022-08-05 07:30:00,0.0
2022-08-05 07:40:00,0.0
2022-08-05 07:50:00,0.0
2022-08-05 08:00:00,0.0
2022-08-05 08:10:00,0.0
2022-08-05 08:20:00,0.0
2022-08-05 08:30:00,0.0
2022-08-05 08:40:00,0.0
2022-08-05 08:50:00,0.0
2022-08-05 09:00:00,0.0
2022-08-05 09:10:00,0.0
2022-08-05 09:20:00,0.0
2022-08-05 09:30:00,0.0
2022-08-05 09:40:00,0.0
2022-08-05 09:50:00,0.0
2022-08-05 10:00:00,0.0
2022-08-05 10:09:00,0.0
2022-08-05 10:19:00,0.0
2022-08-05 10:30:00,0.0
2022-08-05 10:40:00,0.0
2022-08-05 10:50:00,0.0
2022-08-05 11:00:00,0.0
2022-08-05 11:10:00,0.0
2022-08-05 11:20:00,0.0
2022-08-05 11:30:00,0.0
2022-08-05 11:40:00,0.0
2022-08-05 11:50:00,0.0
2022-08-05 12:00:00,0.0
2022-08-05 12:10:00,0.0
2022-08-05 12:20:00,0.0
2022-08-05 12:30:00,0.0
2022-08-05 12:40:00,0.0
2022-08-05 12:50:00,0.0
2022-08-05 13:00:00,0.0
2022-08-05 13:10:00,0.0
