time,value
2022-08-04 00:00:00,6.958
2022-08-04 00:10:00,6.963
2022-08-04 00:20:00,6.963
2022-08-04 00:30:00,6.958
2022-08-04 00:40:00,6.958
2022-08-04 00:50:00,6.955
2022-08-04 01:00:00,6.955
2022-08-04 01:09:00,6.955
2022-08-04 01:19:00,6.952
2022-08-04 01:30:00,6.95
2022-08-04 01:40:00,6.955
2022-08-04 01:50:00,6.969
2022-08-04 02:00:00,6.977
2022-08-04 02:09:00,6.981
2022-08-04 02:20:00,6.985
2022-08-04 02:30:00,6.99
2022-08-04 02:40:00,6.995
2022-08-04 02:50:00,7.004
2022-08-04 03:00:00,7.015
2022-08-04 03:09:00,7.017
2022-08-04 03:19:00,7.028
2022-08-04 03:30:00,7.027
2022-08-04 03:39:00,7.017
2022-08-04 03:50:00,7.006
2022-08-04 04:00:00,6.995
2022-08-04 04:09:00,6.985
2022-08-04 04:20:00,6.979
2022-08-04 04:30:00,6.974
2022-08-04 04:40:00,6.966
2022-08-04 04:50:00,6.966
2022-08-04 05:00:00,6.966
2022-08-04 05:09:00,6.966
2022-08-04 05:19:00,6.966
2022-08-04 05:30:00,6.966
2022-08-04 05:40:00,6.966
2022-08-04 05:50:00,6.963
2022-08-04 06:00:00,6.966
2022-08-04 06:10:00,6.969
2022-08-04 06:20:00,6.971
2022-08-04 06:30:00,6.96
2022-08-04 06:40:00,6.96
2022-08-04 06:50:00,6.952
2022-08-04 07:00:00,6.952
2022-08-04 07:09:00,6.948
2022-08-04 07:20:00,6.939
2022-08-04 07:30:00,6.944
2022-08-04 07:40:00,6.942
2022-08-04 07:50:00,6.95
2022-08-04 08:00:00,6.963
2022-08-04 08:10:00,6.971
2022-08-04 08:20:00,6.966
2022-08-04 08:30:00,6.979
2022-08-04 08:40:00,6.987
2022-08-04 08:50:00,6.963
2022-08-04 09:00:00,6.941
2022-08-04 09:09:00,6.916
2022-08-04 09:19:00,6.887
2022-08-04 09:29:00,6.86
2022-08-04 09:40:00,6.836
2022-08-04 09:50:00,6.817
2022-08-04 10:00:00,6.796
2022-08-04 10:09:00,6.785
2022-08-04 10:19:00,6.774
2022-08-04 10:30:00,6.756
2022-08-04 10:40:00,6.745
2022-08-04 10:50:00,6.729
2022-08-04 11:00:00,6.694
2022-08-04 11:10:00,6.68
2022-08-04 11:20:00,6.828
2022-08-04 11:30:00,6.901
2022-08-04 11:40:00,6.952
2022-08-04 11:50:00,6.969
2022-08-04 12:00:00,6.975
2022-08-04 12:10:00,7.006
2022-08-04 12:20:00,7.043
2022-08-04 12:30:00,7.069
2022-08-04 12:40:00,7.097
2022-08-04 12:50:00,7.118
2022-08-04 13:00:00,7.14
2022-08-04 13:09:00,7.147
2022-08-04 13:19:00,7.146
2022-08-04 13:30:00,7.146
2022-08-04 13:40:00,7.138
2022-08-04 13:50:00,7.127
2022-08-04 14:00:00,7.112
2022-08-04 14:09:00,7.108
2022-08-04 14:19:00,7.102
2022-08-04 14:29:00,7.088
2022-08-04 14:39:00,7.077
2022-08-04 14:50:00,7.075
2022-08-04 15:00:00,7.075
2022-08-04 15:10:00,7.069
2022-08-04 15:20:00,7.069
