time,value
2022-08-04 00:00:00,97.8
2022-08-04 00:10:00,99.9
2022-08-04 00:20:00,98.9
2022-08-04 00:30:00,100.0
2022-08-04 00:40:00,100.0
2022-08-04 00:50:00,98.4
2022-08-04 01:00:00,97.1
2022-08-04 01:09:00,95.8
2022-08-04 01:19:00,95.9
2022-08-04 01:30:00,97.7
2022-08-04 01:40:00,97.0
2022-08-04 01:50:00,95.8
2022-08-04 02:00:00,95.2
2022-08-04 02:09:00,95.2
2022-08-04 02:20:00,95.7
2022-08-04 02:30:00,97.1
2022-08-04 02:40:00,95.9
2022-08-04 02:50:00,95.4
2022-08-04 03:00:00,94.8
2022-08-04 03:09:00,94.7
2022-08-04 03:19:00,94.2
2022-08-04 03:30:00,92.6
2022-08-04 03:39:00,93.1
2022-08-04 03:50:00,93.9
2022-08-04 04:00:00,93.8
2022-08-04 04:09:00,94.2
2022-08-04 04:20:00,93.5
2022-08-04 04:30:00,95.4
2022-08-04 04:40:00,97.1
2022-08-04 04:50:00,97.0
2022-08-04 05:00:00,95.9
2022-08-04 05:09:00,95.2
2022-08-04 05:19:00,96.6
2022-08-04 05:30:00,96.6
2022-08-04 05:40:00,96.6
2022-08-04 05:50:00,96.5
2022-08-04 06:00:00,95.8
2022-08-04 06:10:00,95.6
2022-08-04 06:20:00,95.2
2022-08-04 06:30:00,95.5
2022-08-04 06:40:00,95.8
2022-08-04 06:50:00,95.1
2022-08-04 07:00:00,95.5
2022-08-04 07:09:00,94.1
2022-08-04 07:20:00,92.1
2022-08-04 07:30:00,91.7
2022-08-04 07:40:00,91.5
2022-08-04 07:50:00,88.1
2022-08-04 08:00:00,87.7
2022-08-04 08:10:00,87.5
2022-08-04 08:20:00,86.9
2022-08-04 08:30:00,86.4
2022-08-04 08:40:00,84.8
2022-08-04 08:50:00,83.8
2022-08-04 09:00:00,81.6
2022-08-04 09:09:00,82.1
2022-08-04 09:19:00,81.4
2022-08-04 09:29:00,80.4
2022-08-04 09:40:00,80.0
2022-08-04 09:50:00,79.0
2022-08-04 10:00:00,76.9
2022-08-04 10:09:00,75.8
2022-08-04 10:19:00,76.2
2022-08-04 10:30:00,77.2
2022-08-04 10:40:00,72.8
2022-08-04 10:50:00,75.0
2022-08-04 11:00:00,68.5
2022-08-04 11:10:00,69.8
2022-08-04 11:20:00,69.3
2022-08-04 11:30:00,68.5
2022-08-04 11:40:00,70.1
