Date Time,co2
1958/3/1,316.1
1958/4/1,317.2
1958/5/1,317.4333333
1958/6/1,
1958/7/1,315.625
1958/8/1,314.95
1958/9/1,313.5
1958/10/1,
1958/11/1,313.425
1958/12/1,314.7
1959/1/1,315.5
1959/2/1,316.7
1959/3/1,316.7333333
1959/4/1,317.675
1959/5/1,318.325
1959/6/1,318.025
1959/7/1,316.525
1959/8/1,314.9
1959/9/1,313.825
1959/10/1,313.4
1959/11/1,314.875
1959/12/1,315.525
1960/1/1,316.38
1960/2/1,316.975
1960/3/1,317.575
1960/4/1,319.12
1960/5/1,319.925
1960/6/1,319.45
1960/7/1,318.06
1960/8/1,315.775
1960/9/1,314.175
1960/10/1,313.84
1960/11/1,315.025
1960/12/1,316.2
1961/1/1,316.925
1961/2/1,317.65
1961/3/1,318.525
1961/4/1,319.42
1961/5/1,320.475
1961/6/1,319.75
1961/7/1,318.32
1961/8/1,316.775
1961/9/1,315.04
1961/10/1,315.35
1961/11/1,316.05
1961/12/1,316.98
1962/1/1,317.925
1962/2/1,318.625
1962/3/1,319.68
1962/4/1,320.55
1962/5/1,320.9
1962/6/1,320.5
1962/7/1,319.425
1962/8/1,317.7333333
1962/9/1,316.0666667
1962/10/1,315.475
1962/11/1,316.55
1962/12/1,317.525
1963/1/1,318.725
1963/2/1,318.9666667
1963/3/1,319.86
1963/4/1,321.275
1963/5/1,322.1
1963/6/1,321.46
1963/7/1,319.6
1963/8/1,317.6
1963/9/1,316.15
1963/10/1,316.05
1963/11/1,317
1963/12/1,318.35
1964/1/1,319.4
1964/2/1,
1964/3/1,
1964/4/1,
1964/5/1,322
1964/6/1,321.75
1964/7/1,320.3
1964/8/1,318.5
1964/9/1,316.6
1964/10/1,316.96
1964/11/1,317.725
1964/12/1,318.675
1965/1/1,319.4
1965/2/1,320.45
1965/3/1,320.925
1965/4/1,322
1965/5/1,322.06
1965/6/1,321.775
1965/7/1,321.04
1965/8/1,318.725
1965/9/1,317.825
1965/10/1,317.34
1965/11/1,318.875
1965/12/1,319.325
1966/1/1,320.54
1966/2/1,321.575
1966/3/1,322.375
1966/4/1,323.66
1966/5/1,324.025
1966/6/1,323.7
1966/7/1,322.85
1966/8/1,320.2
1966/9/1,318.7
1966/10/1,318.18
1966/11/1,319.9
1966/12/1,321.06
1967/1/1,322.4
1967/2/1,322.425
1967/3/1,323
1967/4/1,324.28
1967/5/1,324.95
1967/6/1,324.075
1967/7/1,322.48
1967/8/1,320.85
1967/9/1,319.3
1967/10/1,319.45
1967/11/1,320.675
1967/12/1,321.92
1968/1/1,322.55
1968/2/1,323.05
1968/3/1,323.92
1968/4/1,324.975
1968/5/1,325.475
1968/6/1,325.26
1968/7/1,324.025
1968/8/1,321.94
1968/9/1,320.25
1968/10/1,320.275
1968/11/1,321.32
1968/12/1,322.925
1969/1/1,323.925
1969/2/1,324.275
1969/3/1,325.6
1969/4/1,326.575
1969/5/1,327.28
1969/6/1,326.55
1969/7/1,325.8
1969/8/1,323.54
1969/9/1,322.4
1969/10/1,321.8
1969/11/1,322.82
1969/12/1,324.125
1970/1/1,325.08
1970/2/1,326.025
1970/3/1,327
1970/4/1,328.075
1970/5/1,327.92
1970/6/1,327.55
1970/7/1,326.3
1970/8/1,324.66
1970/9/1,323.15
1970/10/1,323.14
1970/11/1,324.05
1970/12/1,325.1
1971/1/1,326.14
1971/2/1,326.65
1971/3/1,327.2
1971/4/1,327.675
1971/5/1,328.82
1971/6/1,328.475
1971/7/1,327.22
1971/8/1,325.25
1971/9/1,323.4
1971/10/1,323.54
1971/11/1,324.825
1971/12/1,325.925
1972/1/1,326.72
1972/2/1,327.625
1972/3/1,327.725
1972/4/1,329.64
1972/5/1,330
1972/6/1,329.075
1972/7/1,328.04
1972/8/1,326.25
1972/9/1,324.86
1972/10/1,325.3
1972/11/1,326.425
1972/12/1,327.54
1973/1/1,328.55
1973/2/1,329.475
1973/3/1,330.38
1973/4/1,331.575
1973/5/1,332.4
1973/6/1,331.94
1973/7/1,330.65
1973/8/1,329.325
