time,value
2022-08-04 00:00:00,12917.64
2022-08-04 00:10:00,
2022-08-04 00:20:00,
2022-08-04 00:30:00,
2022-08-04 00:40:00,12919.4
2022-08-04 00:50:00,
2022-08-04 01:00:00,
2022-08-04 01:09:00,12921.27
2022-08-04 01:19:00,12921.38
2022-08-04 01:30:00,
2022-08-04 01:40:00,12922.54
2022-08-04 01:50:00,12922.65
2022-08-04 02:00:00,12923.7
2022-08-04 02:09:00,12923.81
2022-08-04 02:20:00,12924.14
2022-08-04 02:30:00,
2022-08-04 02:40:00,
2022-08-04 02:50:00,
2022-08-04 03:00:00,12926.25
2022-08-04 03:09:00,12926.44
2022-08-04 03:19:00,12927.39
2022-08-04 03:30:00,12927.5
2022-08-04 03:39:00,12928.45
2022-08-04 03:50:00,
2022-08-04 04:00:00,
2022-08-04 04:09:00,12929.82
2022-08-04 04:20:00,
2022-08-04 04:30:00,12930.77
2022-08-04 04:40:00,12931.05
2022-08-04 04:50:00,12931.21
2022-08-04 05:00:00,12932.2
2022-08-04 05:09:00,12932.3
2022-08-04 05:19:00,
2022-08-04 05:30:00,12933.46
2022-08-04 05:40:00,
2022-08-04 05:50:00,12934.51
2022-08-04 06:00:00,12934.57
2022-08-04 06:10:00,
2022-08-04 06:20:00,12936.97
2022-08-04 06:30:00,12938.56
2022-08-04 06:40:00,12939.4
2022-08-04 06:50:00,
2022-08-04 07:00:00,12941.87
2022-08-04 07:09:00,12943.62
2022-08-04 07:20:00,12944.25
2022-08-04 07:30:00,12946.11
2022-08-04 07:40:00,
2022-08-04 07:50:00,
2022-08-04 08:00:00,12949.09
2022-08-04 08:10:00,12950.97
2022-08-04 08:20:00,12951.42
2022-08-04 08:30:00,12953.28
2022-08-04 08:40:00,12953.88
2022-08-04 08:50:00,12955.69
2022-08-04 09:00:00,12956.31
2022-08-04 09:09:00,12957.27
2022-08-04 09:19:00,12957.32
2022-08-04 09:29:00,12958.06
2022-08-04 09:40:00,12958.38
2022-08-04 09:50:00,12958.42
2022-08-04 10:00:00,12959.42
2022-08-04 10:09:00,12959.47
2022-08-04 10:19:00,12960.06
2022-08-04 10:30:00,12960.52
2022-08-04 10:40:00,12960.57
2022-08-04 10:50:00,12961.57
2022-08-04 11:00:00,12961.62
2022-08-04 11:10:00,12962.1
2022-08-04 11:20:00,12962.68
2022-08-04 11:30:00,12962.72
2022-08-04 11:40:00,12963.74
2022-08-04 11:50:00,12963.79
2022-08-04 12:00:00,12964.09
2022-08-04 12:10:00,12964.85
2022-08-04 12:20:00,12964.9
2022-08-04 12:30:00,12965.82
2022-08-04 12:40:00,12965.96
2022-08-04 12:50:00,12966.09
2022-08-04 13:00:00,12967.01
2022-08-04 13:09:00,12967.06
2022-08-04 13:19:00,12967.84
2022-08-04 13:30:00,12968.11
2022-08-04 13:40:00,
2022-08-04 13:50:00,12969.17
2022-08-04 14:00:00,
2022-08-04 14:09:00,12970.06
2022-08-04 14:19:00,12970.59
2022-08-04 14:29:00,12970.72
2022-08-04 14:39:00,12971.73
